会社名,事業所コード,施設名,指定番号,郵便番号,開設日,住所,開設年数,住所（建物名）,建物構造,電話番号,建物階数,FAX番号,居室数,フリーダイヤル,内SS数,メールアドレス,定員数,URL,サービス種類,サービス有効期限,土地所有区分,敷地面積（㎡数）,敷地面積（坪数）,敷地内駐車場台数,購入金額,坪単価,家賃,契約期間,自動更新の有無,契約年数,土地備考,土地管理会社名,土地管理会社郵便番号,土地管理会社住所,土地管理会社住所（建物名）,土地管理会社電話番号,土地管理会社FAX番号,土地管理会社メールアドレス,土地管理会社URL,土地管理会社備考,土地オーナー氏名,土地オーナー郵便番号,土地オーナー住所,土地オーナー住所（建物名）,土地オーナー電話番号,土地オーナーFAX番号,土地オーナーメールアドレス,土地オーナーURL,土地オーナー備考,建物所有区分,建築面積（㎡数）,建築面積（坪数）,竣工日,延床面積（㎡数）,延べ床面積（坪数）,築年数,建築費用,坪単価,耐用年数,建設協力金,建物家賃,建物契約年数,建物契約開始日,建物契約終了日,建物自動更新の有無,施工会社,施工会社連絡先,定期調査会社,調査日,建物備考,建物管理会社名,建物管理会社電話番号,建物管理会社メールアドレス,建物オーナー氏名,建物オーナー電話番号,建物オーナーメールアドレス,電力会社,電気保安管理業者,電気保守点検実施日,PAS有無,PAS更新年月日,キュービクル有無,キュービクルメーカー,キュービクル年式,非常用発電機有無,非常用発電機メーカー,非常用発電機年式,電気設備備考,水道契約会社,受水槽清掃業者,受水槽清掃実施日,浴槽循環方式,ろ過器設置の有無,ろ過器メーカー,ろ過器年式,受水槽設置の有無,受水槽メーカー,受水槽年式,加圧ポンプメーカー,加圧ポンプ年式,浄化槽設置の有無,浄化槽メーカー,浄化槽年式,浄化槽点検・清掃業者,浄化槽点検・清掃実施日,レジオネラ検査実施日,レジオネラ検査結果（初回）,レジオネラ検査結果（2回目）,水道設備備考,ガス会社,ガス保安管理業者,ガス保守点検実施日,ガス設備備考,エレベーター有無,エレベーターメーカー,エレベーター年式,エレベーター保守会社,エレベーター保守実施日,エレベーター設備備考,空調設備_フロンガス点検業者,空調設備_点検実施日,空調設備_点検対象機器,空調設備_備考,照明設備_メーカー,照明設備_更新日,照明設備_保証期間,照明設備_備考,防犯カメラ管理業者,防犯カメラ年式,防犯カメラ備考,電子錠管理業者,電子錠年式,電子錠備考,防火管理者,消防訓練実施日,消防設備点検業者,消防設備点検実施日,防災実地訓練実施日,防災起動訓練実施日,防災備考,引き渡し図面備考,図面備考,外装_防水_施工日,外装_防水_施工会社,外装_防水_担当者,外装_防水_連絡先,外装_防水_備考,外装_防水_特記事項,外装_塗装_施工日,外装_塗装_施工会社,外装_塗装_担当者,外装_塗装_連絡先,外装_塗装_備考,外装_塗装_特記事項,内装リニューアル_リニューアル日,内装リニューアル_会社名,内装リニューアル_担当者,内装リニューアル_連絡先,内装リニューアル_特記事項,内装・意匠履歴_全データ,その他_改修工事履歴_全データ,その他契約書_会社名,その他契約書_契約書の種類,その他契約書_契約内容,その他契約書_自動更新の有無,その他契約書_自動更新詳細,その他契約書_契約開始日,その他契約書_契約終了日,その他契約書_金額,その他契約書_備考,給食契約書_会社名,給食契約書_契約書の種類,給食契約書_契約内容,給食契約書_自動更新の有無,給食契約書_契約開始日,給食契約書_契約終了日,給食契約書_金額,給食契約書_備考,駐車場契約書_会社名,駐車場契約書_契約書の種類,駐車場契約書_契約内容,駐車場契約書_自動更新の有無,駐車場契約書_契約開始日,駐車場契約書_契約終了日,駐車場契約書_金額,駐車場契約書_台数,駐車場契約書_備考
株式会社シダー,14024,"あおぞらの里 福岡西デイサービスセンター",1471200024,,,,,,,,,,,,,,,,,,賃貸,1443.84,436.73,27,,,168863,"2025年1月30日 ～ 2026年1月30日",,1年,賃貸契約による運営。,積水ハウス不動産株式会社,090-2418,"1662 King Stravenue
Presleyport, WA 70702",ビジネスセンター8階,0024-830-6506,0252-0237-5138,management@property.co.jp,,入居者対応、契約更新手続き等も含めた総合管理サービス。,"Izabella Murphy",986-0975,"79342 Carroll Place
Port Annabelle, NY 48096-2309",,09-130-0058,0815-99-3463,,http://www.franecki.com/minus-molestiae-ut-deleniti-consectetur-voluptates-minus,相続により取得した不動産で、家族経営による管理。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-10,鈴木設備,小林大輔,959.814.9483,,,2025-04-21,小林電設,,,,,2025-05-23,,,,,,"[NO:687|日付:2025-08-18|会社:|金額:|内容:内装デザイン変更|担当:伊藤正男|連絡先:(440) 286-0374|備考:|特記事項:] / [NO:686|日付:2025-07-19|会社:高橋塗装|金額:|内容:フロア改修工事|担当:中村恵子|連絡先:|備考:|特記事項:] / [NO:685|日付:2024-06-27|会社:田中電気工事|金額:508,492|内容:床材変更工事|担当:田中花子|連絡先:|備考:Id reprehenderit amet est ipsam earum eum aut eos unde vel laboriosam a.|特記事項:Molestiae quis ut perferendis quia non numquam eum.] / [NO:688|日付:2024-01-17|会社:中村建築|金額:|内容:床材変更工事|担当:佐藤次郎|連絡先:|備考:|特記事項:]"
株式会社シダー,14041,"あおぞらの里 古賀デイサービスセンター",1471200041,,,,,,,,,,,,,,,,,,owned_rental,1161.70,351.39,26,66508991,189274,368946,"2024年12月5日 ～ 2025年12月5日",,1年,自社所有物件を第三者に賃貸。,,,,,,,,,,医療法人愛和会,204-3642,"89811 Crooks Falls Suite 923
North Glennastad, PA 76224-8554",企業会館,018-492-1065,0950-7912-8253,office@healthcare.jp,https://www.healthcare-service.jp,契約更新時の条件交渉においても誠実な対応を心がけている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-24,,佐藤次郎,781-722-8883,"Inventore accusamus suscipit nihil atque quo id quo excepturi facere veritatis similique officia modi quidem aut.",,2025-02-14,高橋塗装,,,"Consequatur blanditiis impedit et ipsa modi dignissimos vero porro asperiores dolor quidem maiores sed.","Quas cupiditate enim cupiditate corporis quia ea sit minus saepe cumque.",2024-01-26,加藤住宅設備,中村恵子,,,"[NO:695|日付:2024-11-08|会社:小林電設|金額:|内容:エアコン修理|担当:伊藤正男|連絡先:(202) 722-9325|備考:|特記事項:Quod animi in eveniet soluta ut ea alias optio provident harum.] / [NO:694|日付:2024-03-28|会社:|金額:627,565|内容:屋根塗装工事|担当:|連絡先:|備考:|特記事項:]","[NO:696|日付:2024-10-21|会社:小林電設|金額:680,145|内容:ドア修理|担当:伊藤正男|連絡先:|備考:Quod deleniti et inventore nihil corrupti totam laudantium qui aspernatur ipsa voluptatibus molestiae blanditiis labore officiis sapiente vel consequatur et.|特記事項:] / [NO:698|日付:2024-10-14|会社:|金額:123,246|内容:壁紙張替え工事|担当:山田太郎|連絡先:+1 (938) 312-6501|備考:|特記事項:] / [NO:697|日付:2024-09-24|会社:佐藤建設|金額:540,013|内容:屋根塗装工事|担当:中村恵子|連絡先:1-212-879-7936|備考:|特記事項:] / [NO:699|日付:2024-06-10|会社:|金額:144,726|内容:屋根塗装工事|担当:小林大輔|連絡先:812-798-8094|備考:Omnis quas sit iusto at esse minima minima autem laboriosam quia non repellat ut facilis et soluta dolore.|特記事項:]"
株式会社シダー,14051,"あおぞらの里 行橋デイサービスセンター",1471200051,,,,,,,,,,,,,,,,,,owned_rental,1634.64,494.45,9,80998821,163816,469488,"2023年9月30日 ～ 2028年9月30日",,5年,自社所有物件を第三者に賃貸。近隣に公共交通機関あり、アクセス良好。周辺環境は住宅地で静穏。災害時の避難経路確保済み。,,,,,,,,,,株式会社ヘルスケアパートナーズ,173-5145,"437 Kassulke Mountain Apt. 380
Earlinechester, LA 49033-2827",,00-3057-2961,093-6843-6280,office@medical-care.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-06,小林電設,,"(651) 568-7286","Quibusdam distinctio similique et necessitatibus magnam molestiae voluptatem et amet occaecati distinctio sit non alias sed eveniet ea accusantium itaque voluptatem.","Pariatur sit officiis mollitia inventore iste officiis non cumque ut laudantium.",2025-09-25,佐藤建設,,,"Commodi aut aut consequuntur eum et esse occaecati ducimus omnis incidunt nemo omnis.","[NO:702|日付:2025-03-27|会社:株式会社山田工務店|金額:679,463|内容:内装リニューアル工事|担当:田中花子|連絡先:|備考:|特記事項:]","[NO:704|日付:2025-09-25|会社:小林電設|金額:|内容:水道管修理|担当:|連絡先:+18185954784|備考:|特記事項:Enim rerum et repellendus quidem nisi vel et temporibus repellat ab quos placeat.] / [NO:707|日付:2025-06-27|会社:|金額:633,634|内容:フロア改修工事|担当:佐藤次郎|連絡先:+1-931-345-9648|備考:|特記事項:Iure ea deleniti inventore nihil consequatur veritatis veritatis dolor voluptates quis sed.] / [NO:705|日付:2024-11-28|会社:高橋塗装|金額:286,156|内容:照明設備更新|担当:中村恵子|連絡先:|備考:|特記事項:] / [NO:708|日付:2024-11-21|会社:渡辺リフォーム|金額:872,062|内容:内装デザイン変更|担当:|連絡先:|備考:Consequatur quis est sed quod voluptas est sint pariatur eveniet sint omnis quae minus praesentium soluta quia sit dolor corporis.|特記事項:] / [NO:709|日付:2024-05-25|会社:|金額:921,742|内容:フロア改修工事|担当:|連絡先:(515) 303-8290|備考:Et voluptatem est quisquam ut nam eligendi quisquam nam fugit provident.|特記事項:Modi culpa debitis delectus eius nesciunt minima reprehenderit ex error.] / [NO:706|日付:2023-10-11|会社:田中電気工事|金額:271,363|内容:屋根塗装工事|担当:田中花子|連絡先:(267) 673-2919|備考:Nesciunt omnis asperiores veniam sed qui deserunt porro eos dolorem neque tenetur esse.|特記事項:]"
株式会社シダー,14061,"あおぞらの里 豊前デイサービスセンター",1471200061,,,,,,,,,,,,,,,,,,賃貸,1833.39,554.56,25,,,200342,"2025年6月17日 ～ 2026年6月17日",,1年,賃貸契約による運営。,株式会社長谷工リアルエステート,233-5323,"789 Carole Locks Apt. 011
Port Carlosview, CT 55518-2098",商業ビル4F,014-4846-0729,0641-007-4245,management@real-estate.jp,,24時間対応可能な管理体制を整備。緊急時の連絡先も明確化されている。,"Quinton Russel",842-6468,"23139 Franz Springs Suite 709
Howellfurt, LA 51374-4814",マンション○○号室,0390-687-1090,,graciela.frami@example.com,,相続により取得した不動産で、家族経営による管理。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-03,株式会社山田工務店,,,,,,,,,,"[NO:712|日付:2024-07-17|会社:中村建築|金額:|内容:鉄部塗装工事|担当:|連絡先:+1 (475) 889-1086|備考:|特記事項:]","[NO:715|日付:2025-07-30|会社:|金額:|内容:防錆塗装工事|担当:|連絡先:(364) 624-1190|備考:|特記事項:] / [NO:716|日付:2025-04-26|会社:|金額:|内容:ベランダ防水工事|担当:|連絡先:+1-361-237-1699|備考:|特記事項:] / [NO:714|日付:2024-12-24|会社:加藤住宅設備|金額:|内容:照明器具交換|担当:|連絡先:|備考:Dolorem et fugit voluptas expedita similique voluptate voluptatem deleniti nesciunt ullam assumenda maxime tempore.|特記事項:] / [NO:713|日付:2024-01-25|会社:加藤住宅設備|金額:94,508|内容:電気設備点検|担当:鈴木美咲|連絡先:+16267059274|備考:|特記事項:] / [NO:717|日付:2024-01-07|会社:田中電気工事|金額:80,302|内容:屋根塗装工事|担当:加藤真理|連絡先:575-302-7403|備考:|特記事項:Molestias eaque quis quia soluta est sunt facilis reprehenderit.]"
株式会社シダー,14301,"あおぞらの里 西原デイサービスセンター",1471200301,,,,,,,,,,,,,,,,,,owned_rental,1607.42,486.21,7,58143909,119586,487789,"2025年8月25日 ～ 2028年8月25日",,3年,自社所有物件を第三者に賃貸。周辺環境は住宅地で静穏。,,,,,,,,,,株式会社ライフケアサービス,021-4466,"98154 Hegmann Park
Hodkiewiczburgh, NV 21463",ビジネスプラザ,0539-758-2490,0563-7841-5865,admin@medical-care.co.jp,https://www.senior-life.com,施設の運営実績が豊富で、適切な管理体制が構築されている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-05,渡辺リフォーム,,,,,,,,,,,2025-07-11,鈴木設備,山田太郎,,,"[NO:721|日付:2025-01-04|会社:|金額:|内容:照明器具交換|担当:鈴木美咲|連絡先:602.377.2435|備考:Earum omnis ea voluptas aut quia excepturi ipsum reiciendis harum aut excepturi quas explicabo aliquam.|特記事項:] / [NO:720|日付:2024-09-11|会社:中村建築|金額:|内容:電気設備点検|担当:伊藤正男|連絡先:|備考:Modi cum consequuntur vitae temporibus nesciunt nihil in illo dignissimos beatae.|特記事項:Aspernatur hic architecto delectus vel esse aperiam asperiores pariatur aliquam omnis harum.]","[NO:726|日付:2025-10-10|会社:佐藤建設|金額:|内容:電気設備点検|担当:渡辺由美|連絡先:469-460-0904|備考:Minima provident culpa vel iste et consequatur minima expedita velit commodi nihil tenetur velit laudantium nihil qui laudantium id deleniti nulla.|特記事項:] / [NO:724|日付:2025-04-03|会社:小林電設|金額:830,113|内容:換気扇清掃|担当:|連絡先:+14848201522|備考:Aperiam ipsa sequi rerum quod ratione quam autem impedit perspiciatis est esse minus.|特記事項:] / [NO:725|日付:2025-01-11|会社:|金額:657,052|内容:給湯器交換|担当:|連絡先:|備考:|特記事項:Sint ab quibusdam qui alias unde libero.] / [NO:723|日付:2024-11-23|会社:|金額:|内容:地下防水工事|担当:|連絡先:(859) 487-3129|備考:|特記事項:] / [NO:727|日付:2024-11-05|会社:田中電気工事|金額:353,256|内容:照明設備更新|担当:|連絡先:774-735-1025|備考:|特記事項:]"
株式会社シダー,20101,"ラ・ナシカ ていね",2071200101,,,,,,,,,,,,,,,,,,賃貸,1589.46,480.78,43,,,366297,"2024年7月30日 ～ 2026年7月30日",,2年,賃貸契約による運営。契約更新時の条件見直し要検討。近隣に公共交通機関あり、アクセス良好。災害時の避難経路確保済み。バリアフリー対応済み。,東急リバブル株式会社,121-1781,"914 Tristian Street
Genechester, OK 34081-5012",不動産会館7F,091-5515-5704,051-581-7273,info@property.co.jp,https://www.realestate-pro.co.jp,清掃・設備点検等の日常管理業務を包括的に委託。,株式会社アセットマネジメント,836-1944,"802 Hansen Vista
Auerborough, WV 42887",戸建て住宅,044-49-7193,0750-70-2960,,http://kautzer.biz/ipsa-minima-suscipit-est-impedit-dolores-sunt-nemo,建物の維持管理に積極的で、定期的な修繕を実施。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02,中村建築,田中花子,+1-737-878-6390,"Velit aut qui eos eum ut est aut laborum quis quibusdam quod veritatis sint et atque et.",,2024-05-30,,山田太郎,228.814.0870,"Corporis perferendis repellat quas nemo magni rerum aperiam minus nisi.","Enim labore provident est rerum officia ea in.",,,,,,"[NO:731|日付:2025-08-28|会社:小林電設|金額:286,877|内容:防錆塗装工事|担当:|連絡先:+1.619.428.8151|備考:|特記事項:]","[NO:732|日付:2024-10-24|会社:株式会社山田工務店|金額:734,150|内容:内装デザイン変更|担当:渡辺由美|連絡先:+1-979-488-8534|備考:|特記事項:] / [NO:737|日付:2024-09-16|会社:|金額:|内容:電気設備点検|担当:高橋健一|連絡先:|備考:Iusto praesentium fugit sit enim neque ad libero necessitatibus magni.|特記事項:Sunt expedita dignissimos minima magnam similique reprehenderit.] / [NO:735|日付:2024-06-27|会社:|金額:472,207|内容:壁紙張替え工事|担当:中村恵子|連絡先:+1-757-571-5784|備考:|特記事項:] / [NO:736|日付:2024-05-18|会社:|金額:328,923|内容:給湯器交換|担当:|連絡先:(406) 533-2932|備考:|特記事項:] / [NO:733|日付:2024-01-15|会社:|金額:681,021|内容:屋上防水工事|担当:佐藤次郎|連絡先:|備考:|特記事項:Ducimus maxime eos repudiandae ullam qui dignissimos in.] / [NO:734|日付:2023-12-08|会社:|金額:155,668|内容:給湯器交換|担当:|連絡先:+1.949.413.5692|備考:Iste illo quod omnis quasi esse est placeat totam quas esse dignissimos atque ipsum officiis dolorem est consectetur ad et.|特記事項:]"
株式会社シダー,20111,"ラ・ナシカ あさり",2071200111,,,,,,,,,,,,,,,,,,賃貸,1916.63,579.74,21,,,438713,"2024年4月9日 ～ 2025年4月9日",,1年,賃貸契約による運営。契約更新時の条件見直し要検討。,三井不動産リアルティ株式会社,518-0860,"95494 Homenick Lake Suite 015
Aleenshire, TX 43066-8024",不動産会館7F,0211-337-5301,005-406-5737,contact@management.com,https://www.property-management.co.jp,24時間対応可能な管理体制を整備。緊急時の連絡先も明確化されている。,"Alisa Mueller",396-8828,"6704 Claudie View Apt. 836
West Roelchester, KS 73054-7087",戸建て住宅,01-6231-7637,0378-43-3388,uhowell@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-12,渡辺リフォーム,,+14693395088,,,2025-03-13,加藤住宅設備,,"(979) 496-6817","Dolor dolores accusantium voluptatem et sit dolorum qui illo ducimus rerum in cumque voluptatem aut.",,,,,,,"[NO:742|日付:2025-04-03|会社:加藤住宅設備|金額:58,981|内容:フロア改修工事|担当:小林大輔|連絡先:(239) 845-4090|備考:|特記事項:]","[NO:744|日付:2025-03-14|会社:小林電設|金額:|内容:屋上防水工事|担当:伊藤正男|連絡先:|備考:Et qui nemo officiis est ut perspiciatis perferendis sed facilis velit aut voluptate ducimus dignissimos aliquid officiis veritatis nemo accusantium omnis.|特記事項:] / [NO:743|日付:2025-03-07|会社:伊藤工業|金額:|内容:ドア修理|担当:|連絡先:|備考:|特記事項:] / [NO:745|日付:2024-05-29|会社:株式会社山田工務店|金額:|内容:地下防水工事|担当:|連絡先:+16502327812|備考:|特記事項:]"
株式会社シダー,20121,"ラ・ナシカ あさひかわ",2071200121,,,,,,,,,,,,,,,,,,owned_rental,2405.43,727.60,25,110128081,151358,497287,"2025年2月15日 ～ 2027年2月15日",,2年,自社所有物件を第三者に賃貸。,,,,,,,,,,社会福祉法人みらい,310-3659,"226 Horacio Forest
Deionmouth, ND 52557",企業会館,040-2305-7733,08-6075-0164,info@healthcare.jp,https://www.medical-care.co.jp,事業拡大に伴い、長期的な利用を前提とした契約を希望。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-17,中村建築,,,,,2025-07-05,佐藤建設,田中花子,+1-443-766-4031,"Sunt molestiae est suscipit reprehenderit delectus eligendi ut aliquam perferendis.","Suscipit est odio accusamus a iusto iusto reiciendis et a totam ea dolorem occaecati.",2025-07-18,,鈴木美咲,,"Molestias omnis deserunt delectus suscipit sunt velit dolores.",,"[NO:752|日付:2025-07-04|会社:渡辺リフォーム|金額:|内容:ドア修理|担当:|連絡先:1-404-586-1807|備考:|特記事項:] / [NO:754|日付:2024-11-01|会社:株式会社山田工務店|金額:590,120|内容:フロア改修工事|担当:小林大輔|連絡先:+1-509-294-0546|備考:|特記事項:] / [NO:755|日付:2024-10-28|会社:加藤住宅設備|金額:|内容:床材変更工事|担当:|連絡先:+1 (272) 504-9843|備考:|特記事項:Ut consectetur delectus minima voluptates totam aliquam recusandae qui.] / [NO:753|日付:2024-08-09|会社:伊藤工業|金額:|内容:フロア改修工事|担当:加藤真理|連絡先:302-367-6077|備考:|特記事項:] / [NO:750|日付:2024-05-11|会社:佐藤建設|金額:|内容:換気扇清掃|担当:|連絡先:863-459-0022|備考:|特記事項:] / [NO:751|日付:2024-03-08|会社:高橋塗装|金額:|内容:水道管修理|担当:田中花子|連絡先:631.381.2929|備考:Quos nihil quis in perferendis ratione repellat dolores tenetur est adipisci et facilis sunt et deserunt minima quaerat modi excepturi ea.|特記事項:]"
株式会社シダー,20401,"ラ・ナシカ せんだい",2071200401,,,,,,,,,,,,,,,,,,owned_rental,908.63,274.84,10,51495671,187366,495597,"2023年11月29日 ～ 2026年11月29日",,3年,自社所有物件を第三者に賃貸。,,,,,,,,,,社会福祉法人愛心会,291-2858,"53007 Haley Tunnel
Mackburgh, AK 33766-9403",○○ビル本社,0198-1462-8362,039-566-9458,admin@welfare.or.jp,https://www.welfare-group.or.jp,施設の運営実績が豊富で、適切な管理体制が構築されている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-06,渡辺リフォーム,田中花子,+1-689-719-5779,,,2025-08-21,中村建築,山田太郎,628.702.0298,,"Officiis earum quia dolor sequi culpa voluptas eius similique ut.",2025-03-10,鈴木設備,,"(734) 938-7066",,"[NO:762|日付:2025-07-10|会社:株式会社山田工務店|金額:664,749|内容:壁面改修工事|担当:|連絡先:+1-843-839-9785|備考:Qui veritatis et eveniet quisquam quos alias quam nulla aut esse iusto minus omnis aut.|特記事項:Et iste est quidem harum laboriosam dolor debitis porro enim dignissimos.]","[NO:763|日付:2025-06-06|会社:|金額:810,651|内容:ベランダ防水工事|担当:佐藤次郎|連絡先:|備考:|特記事項:] / [NO:764|日付:2025-04-24|会社:小林電設|金額:415,085|内容:換気扇清掃|担当:|連絡先:|備考:Placeat et ad porro nihil minus fuga blanditiis dolores beatae suscipit libero ipsam ut.|特記事項:] / [NO:765|日付:2025-02-20|会社:伊藤工業|金額:|内容:鉄部塗装工事|担当:渡辺由美|連絡先:820.870.0240|備考:|特記事項:]"
株式会社シダー,20501,"ラ・ナシカ あきた",2071200501,,,,,,,,,,,,,,,,,,賃貸,1155.86,349.62,39,,,529300,"2025年3月3日 ～ 2026年3月3日",,1年,賃貸契約による運営。賃料改定の可能性について定期的に協議。災害時の避難経路確保済み。,株式会社長谷工リアルエステート,267-4401,"7207 Ephraim Roads Suite 730
Vickiemouth, OH 93675",□□プラザ3F,08-635-4598,08-67-3885,office@property-mgmt.co.jp,https://www.property-management.co.jp,大手不動産会社系列で、豊富な管理実績とノウハウを保有。,"Marlen Shields",676-4073,"2356 Hahn Radial Suite 840
Dareberg, MT 42819-6109",住宅○○,02-9467-8094,081-6568-6199,vince.gibson@example.org,,建物の老朽化に伴う大規模修繕の計画を検討中。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-19,渡辺リフォーム,山田太郎,224.526.4911,"Harum quidem omnis voluptate laborum aliquid non illum iste ullam similique suscipit est aliquid ut.","Consequatur temporibus consectetur ipsum occaecati non quo neque delectus ab quam accusantium.",2025-02-12,田中電気工事,,"(218) 917-1520",,"Et unde et perspiciatis officiis veritatis cumque facere voluptatibus aut est mollitia.",,,,,,"[NO:770|日付:2025-08-02|会社:高橋塗装|金額:503,105|内容:電気設備点検|担当:中村恵子|連絡先:|備考:|特記事項:]","[NO:776|日付:2025-08-02|会社:渡辺リフォーム|金額:379,470|内容:照明設備更新|担当:高橋健一|連絡先:|備考:|特記事項:] / [NO:773|日付:2025-04-15|会社:株式会社山田工務店|金額:280,204|内容:壁面改修工事|担当:小林大輔|連絡先:|備考:|特記事項:] / [NO:771|日付:2025-02-18|会社:高橋塗装|金額:463,080|内容:水道管修理|担当:鈴木美咲|連絡先:+1.872.703.1790|備考:Ad inventore praesentium vel possimus porro similique similique aut omnis et nostrum.|特記事項:] / [NO:775|日付:2024-12-20|会社:田中電気工事|金額:485,471|内容:ドア修理|担当:加藤真理|連絡先:+1 (925) 682-8370|備考:Sapiente distinctio aut quibusdam voluptas cum et optio itaque nihil et aperiam soluta est magnam eum ipsa iure.|特記事項:] / [NO:774|日付:2024-07-10|会社:伊藤工業|金額:259,686|内容:外壁防水工事|担当:鈴木美咲|連絡先:|備考:Nam animi eos sit repudiandae sequi quisquam minima soluta tempore exercitationem ea excepturi rerum nesciunt perspiciatis veniam excepturi amet.|特記事項:Quos magnam iste beatae et adipisci eum omnis.] / [NO:772|日付:2023-12-08|会社:|金額:706,364|内容:屋根塗装工事|担当:渡辺由美|連絡先:323.863.5337|備考:Ut ipsa ut id minima accusantium voluptatem dolores qui nostrum et voluptatibus neque vel animi eum saepe dolor non voluptatem excepturi.|特記事項:]"
株式会社シダー,20801,"ラ・ナシカ ひたちなか",2071200801,,,,,,,,,,,,,,,,,,自社所有,1410.26,426.58,45,62341254,146142,,,,,自社所有物件として長期的な運営を予定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-22,伊藤工業,中村恵子,"(779) 885-2031",,,2024-06-03,加藤住宅設備,鈴木美咲,"(386) 939-6567","Non fuga et aut culpa temporibus quaerat eius aspernatur sed.",,2024-12-28,小林電設,佐藤次郎,1-281-645-5415,,[NO:781|日付:2025-05-16|会社:渡辺リフォーム|金額:|内容:水道管修理|担当:|連絡先:|備考:|特記事項:],"[NO:785|日付:2025-09-06|会社:小林電設|金額:78,401|内容:水道管修理|担当:田中花子|連絡先:(828) 954-8585|備考:Rerum nihil repudiandae esse odit cum ex et facilis qui facere.|特記事項:Voluptatem repellat aspernatur quibusdam ut facere quo animi.] / [NO:784|日付:2025-05-11|会社:|金額:|内容:照明設備更新|担当:高橋健一|連絡先:|備考:|特記事項:] / [NO:783|日付:2024-05-11|会社:中村建築|金額:|内容:鉄部塗装工事|担当:田中花子|連絡先:|備考:|特記事項:Rem illum ea rem quas est velit sunt.] / [NO:782|日付:2024-02-20|会社:鈴木設備|金額:607,408|内容:照明器具交換|担当:|連絡先:|備考:|特記事項:]"
